from,to,sign
0,2,-1
0,5,1
0,9,-1
0,12,1
0,15,-1
0,16,1
1,5,1
1,9,-1
1,11,1
1,14,-1
1,15,-1
1,16,1
2,5,1
2,7,-1
2,9,-1
2,11,1
2,15,-1
2,16,1
3,1,1
3,2,-1
3,5,1
3,9,-1
3,15,-1
3,16,1
4,2,-1
4,8,1
4,12,1
4,14,-1
4,15,-1
4,16,1
5,0,1
5,2,-1
5,7,1
5,9,-1
5,12,1
5,15,-1
6,7,-1
6,8,1
6,10,1
6,11,1
6,14,-1
6,15,-1
7,0,1
7,2,-1
7,12,1
7,13,1
7,14,-1
7,15,-1
8,2,-1
8,5,1
8,9,-1
8,13,1
8,15,-1
8,16,1
9,2,-1
9,6,1
9,8,1
9,10,-1
9,15,-1
9,16,1
10,1,1
10,9,-1
10,11,1
10,14,-1
10,15,-1
10,16,1
11,1,1
11,5,-1
11,6,1
11,8,1
11,9,-1
11,14,-1
12,0,1
12,2,-1
12,5,1
12,7,1
12,10,-1
12,15,-1
13,5,1
13,7,-1
13,8,1
13,9,-1
13,10,1
13,15,-1
14,1,-1
14,6,-1
14,7,-1
14,8,1
14,15,1
14,16,1
15,2,-1
15,3,1
15,8,1
15,9,-1
15,11,1
15,12,-1
16,0,1
16,4,1
16,8,1
16,9,-1
16,13,-1
16,15,-1
