From,To,Sign
0,1,2
0,3,-2
0,4,1
0,7,3
0,9,-3
0,10,-1
1,0,3
1,3,-3
1,6,1
1,7,-2
1,11,2
1,12,-1
1,14,1
2,0,3
2,1,-1
2,5,-2
2,7,-3
2,16,1
2,17,2
3,0,-2
3,1,-3
3,4,3
3,5,2
3,10,1
4,0,2
4,3,3
4,10,1
5,0,1
5,2,-3
5,3,3
5,7,-1
5,8,2
5,11,-2
6,0,1
6,1,2
6,3,-3
6,5,-2
6,7,-1
6,15,3
7,0,-2
7,1,-3
7,2,-1
7,3,3
7,5,1
7,9,2
8,2,-3
8,4,1
8,7,3
8,11,2
8,16,-2
8,17,-1
9,3,3
9,4,1
9,12,2
10,0,-1
10,1,-3
10,2,-2
10,3,2
10,4,3
10,15,1
11,0,3
11,1,1
11,2,-3
11,5,-2
11,13,2
11,16,-1
12,1,-3
12,4,2
12,5,-2
12,6,1
12,11,-1
12,17,3
13,0,3
13,1,1
13,3,-3
13,9,-2
13,11,1
13,14,2
13,16,-1
14,0,2
14,1,3
14,2,-2
14,4,1
14,9,-1
14,12,-3
14,13,1
14,16,-1
15,1,2
15,2,-1
15,3,-3
15,6,3
15,11,1
15,16,-2
16,1,1
16,2,2
16,3,-2
16,5,-1
16,10,-3
16,17,3
17,1,1
17,3,-3
17,5,-2
17,10,-1
17,12,2
17,16,3
